Questions,Answer,1 Distractor,2 Distractor,3 Distractor,4 Distractor
১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত,৬৪ টাকা,১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত? ডিমগুলো কেনার জন্য তাকে মোট ১০০ টাকা দিতে হয়েছিল।,১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত? ডিমগুলো কেনার জন্য তাকে মোট ১০০ টাকা দিতে হয়েছিল। প্রতি ডিমে প্রায় ৫০ গ্রাম প্রোটিন থাকে।,১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত? ডিমগুলো কেনার জন্য তাকে মোট ১০০ টাকা দিতে হয়েছিল। প্রতি ডিমে প্রায় ৫০ গ্রাম প্রোটিন থাকে। ডিমের খোসার ওজন প্রতিটি ডিমে প্রায় ৫ গ্রাম।,১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত? ডিমগুলো কেনার জন্য তাকে মোট ১০০ টাকা দিতে হয়েছিল। প্রতি ডিমে প্রায় ৫০ গ্রাম প্রোটিন থাকে। ডিমের খোসার ওজন প্রতিটি ডিমে প্রায় ৫ গ্রাম। সে মোট ৩ ডজন ডিম কিনতে চেয়েছিল।
কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়,সময় কমে যায়,"কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়? যদি ১০ জন শ্রমিক কাজ করে, তবে একটি নির্দিষ্ট কাজ শেষ করতে ৩০ দিন সময় লাগে।","কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়? যদি ১০ জন শ্রমিক কাজ করে, তবে একটি নির্দিষ্ট কাজ শেষ করতে ৩০ দিন সময় লাগে। কাজটি সম্পন্ন করতে মোট ৩০০ শ্রমঘণ্টা প্রয়োজন।","কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়? যদি ১০ জন শ্রমিক কাজ করে, তবে একটি নির্দিষ্ট কাজ শেষ করতে ৩০ দিন সময় লাগে। কাজটি সম্পন্ন করতে মোট ৩০০ শ্রমঘণ্টা প্রয়োজন। প্রতিটি শ্রমিকের দৈনিক মজুরি ৪০০ টাকা।","কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়? যদি ১০ জন শ্রমিক কাজ করে, তবে একটি নির্দিষ্ট কাজ শেষ করতে ৩০ দিন সময় লাগে। কাজটি সম্পন্ন করতে মোট ৩০০ শ্রমঘণ্টা প্রয়োজন। প্রতিটি শ্রমিকের দৈনিক মজুরি ৪০০ টাকা। কাজটি শেষ করতে ৪টি ভিন্ন ধরনের যন্ত্র ব্যবহার করা হয়েছে।"
৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত,৬০০ টাকা,৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত? চাল কেনার জন্য তার কাছে ৫০০ টাকার একটি নোট ছিল।,৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত? চাল কেনার জন্য তার কাছে ৫০০ টাকার একটি নোট ছিল। এই চাল দিয়ে ২০ জনের একবেলার খাবার তৈরি হবে।,৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত? চাল কেনার জন্য তার কাছে ৫০০ টাকার একটি নোট ছিল। এই চাল দিয়ে ২০ জনের একবেলার খাবার তৈরি হবে। এক মাসে তারা মোট ৫০ কেজি চাল খায়।,৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত? চাল কেনার জন্য তার কাছে ৫০০ টাকার একটি নোট ছিল। এই চাল দিয়ে ২০ জনের একবেলার খাবার তৈরি হবে। এক মাসে তারা মোট ৫০ কেজি চাল খায়। তার পরিবারের মোট সদস্য সংখ্যা ৫ জন।
একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে,৩০ দিন,একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে? এই খাদ্য মজুদের জন্য মোট ২০০ কেজি চাল এবং ৫০ কেজি ডাল ব্যবহার করা হয়েছিল।,একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে? এই খাদ্য মজুদের জন্য মোট ২০০ কেজি চাল এবং ৫০ কেজি ডাল ব্যবহার করা হয়েছিল। ছাত্রাবাসে মোট ১২৫ জন ছাত্র থাকতে পারে।,একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে? এই খাদ্য মজুদের জন্য মোট ২০০ কেজি চাল এবং ৫০ কেজি ডাল ব্যবহার করা হয়েছিল। ছাত্রাবাসে মোট ১২৫ জন ছাত্র থাকতে পারে। প্রতি মাসে তাদের বিদ্যুৎ বিল আসে ৫০০০ টাকা।,একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে? এই খাদ্য মজুদের জন্য মোট ২০০ কেজি চাল এবং ৫০ কেজি ডাল ব্যবহার করা হয়েছিল। ছাত্রাবাসে মোট ১২৫ জন ছাত্র থাকতে পারে। প্রতি মাসে তাদের বিদ্যুৎ বিল আসে ৫০০০ টাকা। প্রতিদিন ছাত্রদের জন্য ৩০০ লিটার পানীয় জল প্রয়োজন।
৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে,১২০০০ টাকা,৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে? এই বিনিয়োগের মাধ্যমে এক মাসে মোট ১৩৫০০ টাকা লাভ করা সম্ভব।,৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে? এই বিনিয়োগের মাধ্যমে এক মাসে মোট ১৩৫০০ টাকা লাভ করা সম্ভব। প্রকল্পটি চালু হওয়ার প্রথম ৩ মাসে মোট ১০ লক্ষ টাকা বিনিয়োগ করা হয়েছে।,৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে? এই বিনিয়োগের মাধ্যমে এক মাসে মোট ১৩৫০০ টাকা লাভ করা সম্ভব। প্রকল্পটি চালু হওয়ার প্রথম ৩ মাসে মোট ১০ লক্ষ টাকা বিনিয়োগ করা হয়েছে। প্রতি লাখে তাদের ৫০ টাকা কমিশন পায়।,৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে? এই বিনিয়োগের মাধ্যমে এক মাসে মোট ১৩৫০০ টাকা লাভ করা সম্ভব। প্রকল্পটি চালু হওয়ার প্রথম ৩ মাসে মোট ১০ লক্ষ টাকা বিনিয়োগ করা হয়েছে। প্রতি লাখে তাদের ৫০ টাকা কমিশন পায়। এই প্রকল্পে মোট ৭ জন অংশীদার ছিল।
১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে,২০০ কেজি,১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে? এই চালগুলো ৫০ কেজি ওজনের বস্তায় আনা হয়েছিল।,১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে? এই চালগুলো ৫০ কেজি ওজনের বস্তায় আনা হয়েছিল। প্রতি মাসে তাদের জন্য ৫০০ কেজি চালের চাহিদা থাকে।,১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে? এই চালগুলো ৫০ কেজি ওজনের বস্তায় আনা হয়েছিল। প্রতি মাসে তাদের জন্য ৫০০ কেজি চালের চাহিদা থাকে। একটি পরিবারের জন্য মাসে ১০ কেজি চাল প্রয়োজন।,১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে? এই চালগুলো ৫০ কেজি ওজনের বস্তায় আনা হয়েছিল। প্রতি মাসে তাদের জন্য ৫০০ কেজি চালের চাহিদা থাকে। একটি পরিবারের জন্য মাসে ১০ কেজি চাল প্রয়োজন। চালের গোডাউনে মোট ১০০টি বস্তা মজুদ আছে।
২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে,২২ ১/২ দিন,"২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে? ছাত্রাবাসে প্রতিদিন তিন বেলা খাবার পরিবেশন করা হয়, প্রতি বেলাতে ৫০০ গ্রাম চাল লাগে।",২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে? ছাত্ররা প্রতিদিন তিন বেলা খাবার খায় এবং প্রতিটি খাবারের খরচ ২০ টাকা। এই চালের ওজন ২০০ কিলোগ্রাম।,২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে? ছাত্ররা প্রতিদিন তিন বেলা খাবার খায় এবং প্রতিটি খাবারের খরচ ২০ টাকা। এই চালের ওজন ২০০ কিলোগ্রাম। প্রতি বেলার খাবারের জন্য তাদের ৫০০ গ্রাম চাল লাগে।,২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে? ছাত্ররা প্রতিদিন তিন বেলা খাবার খায় এবং প্রতিটি খাবারের খরচ ২০ টাকা। এই চালের ওজন ২০০ কিলোগ্রাম। প্রতি বেলার খাবারের জন্য তাদের ৫০০ গ্রাম চাল লাগে। তাদের মাসিক খরচের ৫০% খাবার বাবদ ব্যয় হয়।
একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে,১৪০ জন,"একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে? প্রতিদিন শ্রমিকরা ৮ ঘণ্টা করে কাজ করে, এবং প্রতিটি শ্রমিকের মজুরি ৫০০ টাকা।","একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে? প্রতিদিন শ্রমিকরা ৮ ঘণ্টা করে কাজ করে, এবং প্রতিটি শ্রমিকের মজুরি ৫০০ টাকা। বাঁধটির উচ্চতা প্রায় ৩০ মিটার হবে।","একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে? প্রতিদিন শ্রমিকরা ৮ ঘণ্টা করে কাজ করে, এবং প্রতিটি শ্রমিকের মজুরি ৫০০ টাকা। বাঁধটির উচ্চতা প্রায় ৩০ মিটার হবে। এই বাঁধ নির্মাণে মোট ৫০০০০ ঘনমিটার কংক্রিট লাগবে।","একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে? প্রতিদিন শ্রমিকরা ৮ ঘণ্টা করে কাজ করে, এবং প্রতিটি শ্রমিকের মজুরি ৫০০ টাকা। বাঁধটির উচ্চতা প্রায় ৩০ মিটার হবে। এই বাঁধ নির্মাণে মোট ৫০০০০ ঘনমিটার কংক্রিট লাগবে। বাঁধের দৈর্ঘ্য ছিল ৫০০ মিটার।"
২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি শেষ করবে,১৫ ঘণ্টা,২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি করবে? কাজের জন্য মোট ৫০০টি উপকরণ ব্যবহার করা হয়েছে এবং প্রতিটি উপকরণের দাম ২০ টাকা।,২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি করবে? কাজের জন্য মোট ৫০০টি উপকরণ ব্যবহার করা হয়েছে এবং প্রতিটি উপকরণের দাম ২০ টাকা। এই কাজের মোট বাজেট ছিল ১০০০০০ টাকা।,২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি করবে? কাজের জন্য মোট ৫০০টি উপকরণ ব্যবহার করা হয়েছে এবং প্রতিটি উপকরণের দাম ২০ টাকা। এই কাজের মোট বাজেট ছিল ১০০০০০ টাকা। কাজের স্থান থেকে তাদের বাড়ির দূরত্ব ছিল ৫ কিমি।,২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি করবে? কাজের জন্য মোট ৫০০টি উপকরণ ব্যবহার করা হয়েছে এবং প্রতিটি উপকরণের দাম ২০ টাকা। এই কাজের মোট বাজেট ছিল ১০০০০০ টাকা। কাজের স্থান থেকে তাদের বাড়ির দূরত্ব ছিল ৫ কিমি। তারা প্রতিদিন সকাল ৯টায় কাজ শুরু করে।
একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে,৬ জন পুরুষ,একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে? এই কাজটি সম্পন্ন করতে মোট ২০০ শ্রমঘণ্টার প্রয়োজন।,একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে? এই কাজটি সম্পন্ন করতে মোট ২০০ শ্রমঘণ্টার প্রয়োজন। একজন পুরুষের দক্ষতা একজন বালকের চেয়ে ৫০% বেশি।,একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে? এই কাজটি সম্পন্ন করতে মোট ২০০ শ্রমঘণ্টার প্রয়োজন। একজন পুরুষের দক্ষতা একজন বালকের চেয়ে ৫০% বেশি। কাজটি শুরু করতে মোট ৫ দিন বিলম্ব হয়েছিল।,একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে? এই কাজটি সম্পন্ন করতে মোট ২০০ শ্রমঘণ্টার প্রয়োজন। একজন পুরুষের দক্ষতা একজন বালকের চেয়ে ৫০% বেশি। কাজটি শুরু করতে মোট ৫ দিন বিলম্ব হয়েছিল। কাজের জন্য মোট ২০টি সরঞ্জাম ব্যবহার করা হয়েছে।
একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত,১৫০ মিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত? এই বাগানের চারপাশে ৩০০টি গোলাপ গাছ লাগানো হয়েছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত? এই বাগানের চারপাশে ৩০০টি গোলাপ গাছ লাগানো হয়েছে। প্রতিটি গোলাপ গাছের উচ্চতা প্রায় ১.৫ মিটার।,একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত? এই বাগানের চারপাশে ৩০০টি গোলাপ গাছ লাগানো হয়েছে। প্রতিটি গোলাপ গাছের উচ্চতা প্রায় ১.৫ মিটার। বাগানটিতে মোট ১২টি বেঞ্চ স্থাপন করা হয়েছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত? এই বাগানের চারপাশে ৩০০টি গোলাপ গাছ লাগানো হয়েছে। প্রতিটি গোলাপ গাছের উচ্চতা প্রায় ১.৫ মিটার। বাগানটিতে মোট ১২টি বেঞ্চ স্থাপন করা হয়েছে। বাগানটির রক্ষণাবেক্ষণে প্রতি মাসে ২০০০ টাকা খরচ হয়।
একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত,৭৫০০ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত? বাগানের মাঝখানে ১০ মিটার ব্যাসের একটি গোলাকার পুকুর আছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত? বাগানের মাঝখানে ১০ মিটার ব্যাসের একটি গোলাকার পুকুর আছে। পুকুরের চারপাশে ২০টি বেঞ্চ রয়েছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত? বাগানের মাঝখানে ১০ মিটার ব্যাসের একটি গোলাকার পুকুর আছে। পুকুরের চারপাশে ২০টি বেঞ্চ রয়েছে। বাগানের মাঝখানে একটি ২৫ ফুট উঁচু টাওয়ারও আছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার . বাগানের মাঝখানে ১০ মিটার ব্যাসের একটি গোলাকার পুকুর আছে। পুকুরের চারপাশে ২০টি বেঞ্চ রয়েছে। বাগানের মাঝখানে একটি ২৫ ফুট উঁচু টাওয়ারও আছে। পুকুরে প্রায় ৫০০টি মাছ আছে হলে ক্ষেত্রফল কত?
একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত,৭০ মিটার,একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত? এই জমিতে ৫০ কেজি বীজ বপন করা হয়েছিল।,একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত? এই জমিতে ৫০ কেজি বীজ বপন করা হয়েছিল। প্রতি কেজি বীজের দাম ছিল ২০০ টাকা।,একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত? এই জমিতে ৫০ কেজি বীজ বপন করা হয়েছিল। প্রতি কেজি বীজের দাম ছিল ২০০ টাকা। জমিটি কেনার জন্য মোট ৫০০০০০ টাকা খরচ হয়েছে।,একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে এই জমিতে ৫০ কেজি বীজ বপন করা হয়েছিল। প্রতি কেজি বীজের দাম ছিল ২০০ টাকা। জমিটি কেনার জন্য মোট ৫০০০০০ টাকা খরচ হয়েছে। এই জমির উৎপাদিত ফসল থেকে বার্ষিক আয় ২৫০০০ টাকা। তার পরিসীমা কত?
জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত,১৭৬ বর্গমিটার,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত? রাস্তাটি তৈরি করতে মোট ৩০০০০ টাকা খরচ হয়েছে।,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত? রাস্তাটি তৈরি করতে মোট ৩০০০০ টাকা খরচ হয়েছে। রাস্তাটি প্রতিদিন প্রায় ৫০০টি গাড়ির চলাচল নিয়ন্ত্রণ করে।,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত? রাস্তাটি তৈরি করতে মোট ৩০০০০ টাকা খরচ হয়েছে। রাস্তাটি প্রতিদিন প্রায় ৫০০টি গাড়ির চলাচল নিয়ন্ত্রণ করে। রাস্তাটি তৈরি করতে মোট ৭ দিন সময় লেগেছিল।,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত? রাস্তাটি তৈরি করতে মোট ৩০০০০ টাকা খরচ হয়েছে। রাস্তাটি প্রতিদিন প্রায় ৫০০টি গাড়ির চলাচল নিয়ন্ত্রণ করে। রাস্তাটি তৈরি করতে মোট ৭ দিন সময় লেগেছিল। রাস্তার দুই পাশে মোট ১০০টি গাছ লাগানো হয়েছে।
একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত,৩০ বর্গ মিটার,একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত? ত্রিভুজের তিনটি বাহুর যোগফল প্রায় ৩০ মিটার।,একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত? ত্রিভুজের তিনটি বাহুর যোগফল প্রায় ৩০ মিটার। ত্রিভুজের প্রতিটি কোণ ৬০ ডিগ্রি।,একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত? ত্রিভুজের তিনটি বাহুর যোগফল প্রায় ৩০ মিটার। ত্রিভুজের প্রতিটি কোণ ৬০ ডিগ্রি। এই ত্রিভুজটি একটি বড় ক্ষেত্রের ১০% অংশ দখল করে।,একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত? ত্রিভুজের তিনটি বাহুর যোগফল প্রায় ৩০ মিটার। ত্রিভুজের প্রতিটি কোণ ৬০ ডিগ্রি। এই ত্রিভুজটি একটি বড় ক্ষেত্রের ১০% অংশ দখল করে। ত্রিভুজের একটি বাহু ১২ মিটার লম্বা।
এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে? প্রতি খন্ড জমিতে আলু চাষ করতে মোট ৫০০০০ টাকা খরচ হয়।,এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে? প্রতি খন্ড জমিতে আলু চাষ করতে মোট ৫০০০০ টাকা খরচ হয়। প্রতিটি খন্ড জমির আয়তন ২ একর।,এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে? প্রতি খন্ড জমিতে আলু চাষ করতে মোট ৫০০০০ টাকা খরচ হয়। প্রতিটি খন্ড জমির আয়তন ২ একর। এই জমিতে মোট ৩৫০টি সারির মধ্যে আলু রোপণ করা হয়েছে।,এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে? প্রতি খন্ড জমিতে আলু চাষ করতে মোট ৫০০০০ টাকা খরচ হয়। প্রতিটি খন্ড জমির আয়তন ২ একর। এই জমিতে মোট ৩৫০টি সারির মধ্যে আলু রোপণ করা হয়েছে। প্রতিটি সারি ১৫ মিটার লম্বা ছিল।
১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে,১ মেট্রিক টন ৭৫০ কেজি,১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে? প্রতি মেট্রিক টন ধান বিক্রি করে প্রায় ২০০০০ টাকা আয় হয়।,১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে? প্রতি মেট্রিক টন ধান বিক্রি করে প্রায় ২০০০০ টাকা আয় হয়। এই জমিতে গত বছর ১৮ মেট্রিক টন ধান উৎপন্ন হয়েছিল।,১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে? প্রতি মেট্রিক টন ধান বিক্রি করে প্রায় ২০০০০ টাকা আয় হয়। এই জমিতে গত বছর ১৮ মেট্রিক টন ধান উৎপন্ন হয়েছিল। জমিতে মোট ৫০ জন শ্রমিক কাজ করে।,১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে? প্রতি মেট্রিক টন ধান বিক্রি করে প্রায় ২০০০০ টাকা আয় হয়। এই জমিতে গত বছর ১৮ মেট্রিক টন ধান উৎপন্ন হয়েছিল। জমিতে মোট ৫০ জন শ্রমিক কাজ করে। ধান কাটার জন্য ৭টি যন্ত্র ব্যবহার করা হয়।
