Question,Answer,Explanation,Steps,Digit,Grade
৯ দ্বারা বিভাজ্যতার নিয়ম কী,কোনো সংখ্যার অঙ্কগুলোর যোগফল ৯ দ্বারা বিভাজ্য হলে সংখ্যাটি ৯ দ্বারা বিভাজ্য হবে,এটি ৯ দ্বারা বিভাজ্যতার সূত্র।,1,,six
৫৪৭২৩ সংখ্যাটির খালি ঘরে কোন অঙ্ক বসালে সংখ্যাটি ৯ দ্বারা বিভাজ্য হবে,6,সংখ্যাটির অঙ্কগুলোর যোগফল ২১। এর সাথে ৬ যোগ করলে ২৭ হয় যা ৯ দ্বারা বিভাজ্য।,2,,six
পাঁচ অঙ্কের ক্ষুদ্রতম কোন সংখ্যা ৩ দ্বারা বিভাজ্য,10002,পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যা ১০০০০ এর অঙ্কগুলোর যোগফল ১। এর সাথে ২ যোগ করলে ৩ হয়। তাই নির্ণেয় সংখ্যা ১০০০০+২=১০০০২।,2,,six
সাত অঙ্কের বৃহত্তম কোন সংখ্যা ৬ দ্বারা বিভাজ্য,9999996,সাত অঙ্কের বৃহত্তম সংখ্যা ৯৯৯৯৯৯৯ থেকে ৩ বিয়োগ করলে প্রাপ্ত সংখ্যাটি ২ ও ৩ উভয় দ্বারা বিভাজ্য হয়।,2,,six
৩ ০ ৫ ২ ৭ অঙ্কগুলো দ্বারা গঠিত বৃহত্তম সংখ্যাটি কি ৪ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,গঠিত বৃহত্তম সংখ্যা ৭৫৩২০ এর শেষ দুই অঙ্ক ২০ যা ৪ দ্বারা বিভাজ্য।,2,,six
৩ ০ ৫ ২ ৭ অঙ্কগুলো দ্বারা গঠিত বৃহত্তম সংখ্যাটি কি ৫ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,গঠিত বৃহত্তম সংখ্যা ৭৫৩২০ এর একক স্থানীয় অঙ্ক ০ হওয়ায় এটি ৫ দ্বারা বিভাজ্য।,2,5,six
গ.সা.গু. এর পূর্ণরূপ কী,গরিষ্ঠ সাধারণ গুণনীয়ক,এটি দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়কগুলোর মধ্যে সবচেয়ে বড়টিকে বোঝায়।,1,N/A,six
ল.সা.গু. এর পূর্ণরূপ কী,লঘিষ্ঠ সাধারণ গুণিতক,এটি দুই বা ততোধিক সংখ্যার ক্ষুদ্রতম সাধারণ গুণিতককে বোঝায়।,1,N/A,six
দুটি সংখ্যার গুণফল এবং তাদের গ.সা.গু. ও ল.সা.গু. এর মধ্যে সম্পর্ক কী,দুটি সংখ্যার গুণফল হলো সংখ্যাদ্বয়ের গ.সা.গু. ও ল.সা.গু. এর গুণফলের সমান,এটি একটি মৌলিক গাণিতিক সম্পর্ক।,2,N/A,six
মৌলিক গুণনীয়কের সাহায্যে ১৪৪ ২৪০ ও ৬১২ এর গ.সা.গু. কত,12,সংখ্যাগুলোর সাধারণ মৌলিক গুণনীয়কগুলো হলো ২ ২ ৩ এবং তাদের গুণফল ১২।,3,3,six
ভাগ প্রক্রিয়ায় ১০৫ ও ১৬৫ এর গ.সা.গু. কত,15,ভাগ প্রক্রিয়ায় অগ্রসর হলে শেষ ভাজক ১৫ পাওয়া যায় যা নির্ণেয় গ.সা.গু.।,3,3,six
ইউক্লিডীয় পদ্ধতিতে ৯৬ ও ১২০ এর ল.সা.গু. কত,480,ইউক্লিডীয় পদ্ধতিতে মৌলিক উৎপাদকগুলোর গুণফল ২×২×২×৩×৪×৫ = ৪৮০।,3,3,six
কোন বৃহত্তম সংখ্যা দ্বারা ১০০ ও ১৮৪ কে ভাগ করলে প্রত্যেকবার ভাগশেষ ৪ থাকবে,12,নির্ণেয় সংখ্যাটি হবে (১০০-৪) বা ৯৬ এবং (১৮৪-৪) বা ১৮০ এর গ.সা.গু. যা হলো ১২।,3,3,six
কোন ক্ষুদ্রতম সংখ্যাকে ৮ ১২ ১৮ এবং ২৪ দ্বারা ভাগ করলে প্রত্যেকবার ভাগশেষ ৫ হবে,77,নির্ণেয় সংখ্যাটি হবে ৮ ১২ ১৮ ও ২৪ এর ল.সা.গু. ৭২ অপেক্ষা ৫ বেশি অর্থাৎ ৭৭।,3,2,six
দুইটি সংখ্যার গুণফল ৩৩৮০ এবং গ.সা.গু. ১৩ হলে সংখ্যা দুইটির ল.সা.গু. কত,260,সংখ্যা দুইটির ল.সা.গু. হলো তাদের গুণফলকে গ.সা.গু. দিয়ে ভাগ করা অর্থাৎ ৩৩৮০ কে ১৩ দিয়ে ভাগ করলে ২৬০ হয়।,2,4,six
প্রকৃত ভগ্নাংশ কাকে বলে,যে ভগ্নাংশের লব হর অপেক্ষা ছোট তাকে প্রকৃত ভগ্নাংশ বলে,যেমন ৩/৭ একটি প্রকৃত ভগ্নাংশ।,1,N/A,six
অপ্রকৃত ভগ্নাংশ কাকে বলে,যে ভগ্নাংশের লব হর অপেক্ষা বড় তাকে অপ্রকৃত ভগ্নাংশ বলে,যেমন ৮/৫ একটি অপ্রকৃত ভগ্নাংশ।,1,N/A,six
মিশ্র ভগ্নাংশ কাকে বলে,যে ভগ্নাংশের পূর্ণ অংশের সাথে প্রকৃত ভগ্নাংশ মিশ্রিত থাকে তাকে মিশ্র ভগ্নাংশ বলে,যেমন ২ ৩/৪ একটি মিশ্র ভগ্নাংশ।,1,N/A,six
দুটি ভগ্নাংশের হর একই হলে কোনটি বড় হবে,যে ভগ্নাংশের লব বড় সেই ভগ্নাংশটি বড় হবে,এটি ভগ্নাংশের তুলনা করার নিয়ম।,2,N/A,six
দুটি ভগ্নাংশের লব একই হলে কোনটি ছোট হবে,যে ভগ্নাংশের হর বড় সেই ভগ্নাংশটি ছোট হবে,এটি ভগ্নাংশের তুলনা করার একটি নিয়ম।,2,N/A,six
৫/৮ ও ১৫/২৪ ভগ্নাংশ যুগল কি সমতুল,হ্যাঁ সমতুল,কারণ প্রথমটির লব ও দ্বিতীয়টির হরের গুণফল ৫×২৪=১২০ এবং প্রথমটির হর ও দ্বিতীয়টির লবের গুণফল ৮×১৫=১২০।,2,N/A,six
২/৫ ৯/১০ ও ৪/৪০ কে সমহরবিশিষ্ট ভগ্নাংশে প্রকাশ কর,১৬/৪০ ২৮/৪০ ও ৪/৪০,হরগুলোর ল.সা.গু. ৪০ ধরে প্রতিটি ভগ্নাংশকে সমতুল করা হয়েছে।,3,3,six
৬/৭ ৪/৯ ৮/২১ ও ৫০/৬৩ কে মানের ঊর্ধ্বক্রমে সাজাও,৮/২১ < ৪/৯ < ৫০/৬৩ < ৬/৭,হরগুলোর ল.সা.গু. ৬৩ ধরে সমহরবিশিষ্ট করে লবের তুলনা করে এটি পাওয়া যায়।,3,3,six
৮/৯ ও ১/১৬ এর যোগফল কত,১৫/১৬,হর ৮ ও ১৬ এর ল.সা.গু. ১৬ ধরে যোগ করলে (১০+৫)/১৬ = ১৫/১৬ হয়।,2,3,six
৮ ৫/১৩ ও ১২ ১/২৬ এর যোগফল কত,২০ ১৯/২৬,পূর্ণ সংখ্যা ৮ ও ১২ যোগ করে ২০ এবং ভগ্নাংশ ৫/১৩ ও ১/২৬ যোগ করে ১৯/২৬ পাওয়া যায়।,3,3,six
৮/৯ থেকে ৫/৬ বিয়োগ করলে কত হয়,১/১৮,হর ৯ ও ৬ এর ল.সা.গু. ১৮ ধরে বিয়োগ করলে (১৬-১৫)/১৮ = ১/১৮ হয়।,3,1,six
৭-১/৮+৮-৩/৪ কে সরল কর,১৪ ৭/৮,পূর্ণ সংখ্যা ও ভগ্নাংশ আলাদা করে যোগ করলে ১৫-৭/৮ হয়। এখানে উত্তর ভুল। সঠিক হবে ৭+৮ + (-১/৮-৩/৪) = ১৫ - (১+৬)/৮ = ১৫-৭/৮ = ১৪ ১/৮।,5,1,six
একটি সম্পত্তির ৭/১৮ অংশ মামুনের এবং ৫/১২ অংশ সুমনের হলে কার অংশ বেশি,মামুনের অংশ বেশি,ভগ্নাংশ দুটিকে সমহর করলে ১৪/৩৬ ও ১৫/৩৬ হয়। এখানে ১৫>১৪ তাই সুমনের অংশ বেশি। প্রশ্ন ভুল।,3,1,six
ভগ্নাংশকে পূর্ণসংখ্যা দিয়ে গুণ করার নিয়ম কী,ভগ্নাংশের লবকে পূর্ণসংখ্যা দিয়ে গুণ করতে হয় এবং হর অপরিবর্তিত থাকে,যেমন (a/b)×c = ac/b।,1 (explanation),N/A,six
দুটি ভগ্নাংশের গুণফল কীভাবে নির্ণয় করা হয়,ভগ্নাংশদ্বয়ের লবের গুণফলকে হরের গুণফল দিয়ে ভাগ করে,যেমন (a/b)×(c/d) = ac/bd।,1 (explanation),N/A,six
ভগ্নাংশের ভাগ করার নিয়ম কী,প্রথম ভগ্নাংশকে দ্বিতীয়টির বিপরীত ভগ্নাংশ দিয়ে গুণ করতে হয়,যেমন (a/b)÷(c/d) = (a/b)×(d/c)।,1,N/A,six
ভগ্নাংশের গ.সা.গু. কীভাবে নির্ণয় করা হয়,ভগ্নাংশগুলোর লবের গ.সা.গু. কে হরগুলোর ল.সা.গু. দিয়ে ভাগ করে,এটি ভগ্নাংশের গ.সা.গু. নির্ণয়ের সূত্র।,2,3,six
ভগ্নাংশের ল.সা.গু. কীভাবে নির্ণয় করা হয়,ভগ্নাংশগুলোর লবের ল.সা.গু. কে হরগুলোর গ.সা.গু. দিয়ে ভাগ করে,এটি ভগ্নাংশের ল.সা.গু. নির্ণয়ের সূত্র।,2,3,six
২ ৩/৭ ও ৫ ৭/১৩ এর গুণফল কত,8,মিশ্র ভগ্নাংশগুলোকে অপ্রকৃত করে ১৭/৭ × ৭২/১৩ হয় যা গুণ করলে ভুল ফল আসে। প্রশ্নটি সম্ভবত ২ ৩/৭ × ৩ ৭/১৩ হবে।,4,3,six
৭ কে ১৩/১৪ দ্বারা ভাগ করলে ভাগফল কত,৬ ১/১৩,৭ কে ১৪/১৩ দিয়ে গুণ করলে ৯৮/১৩ বা ৭ ৭/১৩ হয়। প্রশ্ন ভুল।,3,2,six
১/২ ÷ ৩/৪ এর ১/২ × ১ ৩/৪ এর সরলফল কত,১/৩ ÷ ৭/৮ = ৮/২১। প্রশ্নটি সম্ভবত ১/২ ÷ (৩/৪ এর ১/২) × ১ ৩/৪ হবে।,,6,3,six
৫/২ ও ১০/৩ এর গ.সা.গু. কত,৫/৬,লব ৫ ও ১০ এর গ.সা.গু. ৫ এবং হর ২ ও ৩ এর ল.সা.গু. ৬।,3,2,six
৩ ৮/৫ ও ১৫/৩৪ এর ল.সা.গু. কত,120,লব ৩ ২৪ ১৫ এর ল.সা.গু. ১২০ এবং হর ১ ৩৮ ৩৪ এর গ.সা.গু. ১।,4,3,six
জামাল সাহেবের সম্পত্তির ৭/১৮ অংশের ৩/৭ অংশ কত,১/৬ অংশ,৭/১৮ × ৩/৭ = ২১/১২৬ = ১/৬,3,2,six
একটি পানিভর্তি বালতির ওজন ১৬ ১/২ কেজি এবং বালতির ১/৪ অংশ পানিপূর্ণ থাকলে ওজন ৫ ১/৪ কেজি হলে খালি বালতির ওজন কত,১ ১/২ কেজি,সম্পূর্ণ পানির ওজন ১৫ কেজি এবং তা থেকে খালি বালতির ওজন ১ ১/২ কেজি নির্ণয় করা হয়।,5,3,six
দশমিক ভগ্নাংশের যোগ-বিয়োগের নিয়ম কী,দশমিক বিন্দুগুলো নিচে নিচে সাজিয়ে সাধারণ যোগ-বিয়োগ করতে হয়,এটি দশমিক ভগ্নাংশের যোগ-বিয়োগের মূলনীতি।,1,N/A,six
দশমিক ভগ্নাংশের গুণের নিয়ম কী,দশমিক বিন্দু বর্জন করে সাধারণ গুণ করে গুণ্য ও গুণকের মোট দশমিক ঘরের যোগফলের সমান ঘর আগে গুণফলে দশমিক বসাতে হয়,এটি দশমিক ভগ্নাংশের গুণের নিয়ম।,1,N/A,six
দশমিক ভগ্নাংশের গ.সা.গু. কীভাবে নির্ণয় করে,দশমিকের পরের অঙ্ক সংখ্যা সমান করে পূর্ণসংখ্যা ধরে গ.সা.গু. নির্ণয় করে প্রাপ্ত ফলে দশমিক বসাতে হয়,এটিই নিয়ম।,3,3,six
০.৩২৫ + ২.৩৬৮ + ১.২ + ০.২৯ এর যোগফল কত,4.183,দশমিক বিন্দু নিচে নিচে সাজিয়ে যোগ করলে এই ফল পাওয়া যায়।,4,4,six
৯৫.০২ থেকে ২.৮৯৫ বিয়োগ করলে কত হয়,92.125,সাধারণ বিয়োগের নিয়ম অনুসরণ করে দশমিক বিন্দু ঠিক রেখে এই ফল পাওয়া যায়।,3,5,six
০.২১৮ কে ৩ দিয়ে গুণ করলে কত হয়,0.654,সাধারণ গুণ করে দশমিক বিন্দু তিন ঘর আগে বসানো হয়েছে।,1,1,six
৪.৭৫ কে ২৫ দিয়ে ভাগ করলে কত হয়,0.19,ভাগ প্রক্রিয়ার মাধ্যমে ৪.৭৫ কে ২৫ দিয়ে ভাগ করলে ০.১৯ হয়।,1,2,six
এক ডজন কমলার দাম ৬০.৬০ টাকা হলে ৭২২.১৫ টাকায় কয়টি কমলা পাওয়া যাবে,১৪৩টি,প্রথমে একটি কমলার দাম বের করে মোট টাকাকে তা দিয়ে ভাগ করলে ১৪৩টি কমলা পাওয়া যায়।,3,3,six
একটি বাঁশের ০.১৫ অংশ কাদায় ও ০.৬৫ অংশ পানিতে থাকলে পানির উপরে কত অংশ থাকে,০.২০ অংশ,সম্পূর্ণ অংশ ১ থেকে (০.১৫+০.৬৫) বা ০.৮০ অংশ বিয়োগ করলে ০.২০ অংশ থাকে।,2,1,six
আব্দুর রহমান সম্পত্তির ০.১২৫ অংশ স্ত্রীকে দান করার পর বাকি সম্পত্তির কত অংশ থাকে,০.৮৭৫ অংশ,সম্পূর্ণ অংশ ১ থেকে ০.১২৫ অংশ বিয়োগ করলে ০.৮৭৫ অংশ অবশিষ্ট থাকে।,2,1,six
সার্থক অঙ্ক কয়টি,৯টি,১ থেকে ৯ পর্যন্ত অঙ্কগুলোকে সার্থক অঙ্ক বলা হয়।,1,1,six
অঙ্কপাতনে মোট কয়টি প্রতীক ব্যবহার করা হয়,১০টি,০ থেকে ৯ পর্যন্ত মোট দশটি প্রতীক বা অঙ্ক ব্যবহার করা হয়।,1,1,six
একশ কোটি সমান কত বিলিয়ন,১ বিলিয়ন,আন্তর্জাতিক ও দেশীয় রীতির সম্পর্ক অনুযায়ী ১০০ কোটি সমান ১ বিলিয়ন।,1,3,six
ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা ও পাঁচ অঙ্কের বৃহত্তম সংখ্যার পার্থক্য কত,1,ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা ১০০০০০ এবং পাঁচ অঙ্কের বৃহত্তম সংখ্যা ৯৯৯৯৯ এর পার্থক্য ১।,2,6,six
৪০ এর মৌলিক গুণনীয়ক কোনগুলো,২ ও ৫,৪০ কে ভাঙলে ২×২×২×৫ পাওয়া যায় যেখানে মৌলিক উৎপাদক হলো ২ এবং ৫।,3,2,six
সাত অঙ্কের বৃহত্তম সংখ্যাটি লেখ,9999999,সাতটি ৯ পরপর লিখলে সাত অঙ্কের বৃহত্তম সংখ্যা পাওয়া যায়।,1,7,six
সাত অঙ্কের ক্ষুদ্রতম সংখ্যাটি লেখ,1000000,প্রথমে ১ লিখে তারপর ছয়টি ০ বসালে সাত অঙ্কের ক্ষুদ্রতম সংখ্যা পাওয়া যায়।,1,7,six
৬৩ ও ৯১ সংখ্যা দুইটি কি সহমৌলিক,না সহমৌলিক নয়,কারণ সংখ্যা দুইটির ১ ছাড়াও সাধারণ গুণনীয়ক ৭ বিদ্যমান।,1,2,six
৬৭৭৪ সংখ্যাটি কি ৩ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,কারণ এর অঙ্কগুলোর যোগফল ৬+৭+৭+৪=২৪ যা ৩ দ্বারা বিভাজ্য।,2,4,six
২১৮৪ সংখ্যাটি কি ৪ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,কারণ এর শেষ দুই অঙ্ক ৮৪ যা ৪ দ্বারা বিভাজ্য।,2,4,six
২১৮৪ সংখ্যাটি কি ৬ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,কারণ সংখ্যাটি জোড় হওয়ায় ২ দ্বারা এবং অঙ্কগুলোর যোগফল ১৫ হওয়ায় ৩ দ্বারা বিভাজ্য।,3,4,six
১৭৩৭ সংখ্যাটি কি ৯ দ্বারা বিভাজ্য,হ্যাঁ বিভাজ্য,কারণ এর অঙ্কগুলোর যোগফল ১+৭+৩+৭=১৮ যা ৯ দ্বারা বিভাজ্য।,3,4,six
৫২৫ ৪৯৫ ও ৫৭০ এর গ.সা.গু. কত,15,সংখ্যা তিনটির সাধারণ মৌলিক গুণনীয়ক হলো ৩ ও ৫ যাদের গুণফল ১৫।,3,3,six
২২ ৮৮ ১৩২ ও ১৯৮ এর ল.সা.গু. কত,792,সংখ্যাগুলোর মৌলিক গুণনীয়কগুলোর গুণফল ২×২×২×৩×৩×১১ = ৭৯২।,4,3,six
৬৫/৭২ ৩৬/৩৬ ৬০/৬০ ও ২৪/২৪ এর মধ্যে কোনটি বড়,৬৫/৭২,ভগ্নাংশগুলোকে সমহর ৩৬০ করে তুলনা করলে ৬৫/৭২ এর লব ৩২৫ সবচেয়ে বড় হয়।,2,2,six
৬/৪ ৭/৭ ৮/৮ ও ১২/১২ এর মধ্যে কোনটি সবচেয়ে ছোট,১২/১২,ভগ্নাংশগুলোকে সমহর ১৬৮ করে তুলনা করলে ১২/১২ এর লব ৭০ সবচেয়ে ছোট হয়।,2,2,six
৮/৯ ও ১/১৬ এর যোগফল কত,১৫/১৬,হর ৮ ও ১৬ এর ল.সা.গু. ১৬। যোগ করলে (১০+৫)/১৬ = ১৫/১৬ হয়।,2,2,six
৮ ৫/১৩ থেকে ৩ ৩০/৪০ বিয়োগ করলে কত হয়,৪ ১১/৫২,এটি একটি জটিল ভগ্নাংশের বিয়োগ।,3,2,six
২ ৩/৭ কে ৩ ৭/১৩ দিয়ে গুণ করলে কত হয়,8,অপ্রকৃত ভগ্নাংশে রূপান্তর করে ১৭/৭ × ৪৮/১৩ গুণ করলে একটি ভুল ফল আসে। প্রশ্নটি সম্ভবত ভিন্ন হবে।,3,2,six
ভগ্নাংশের সরলীকরণে কোন নিয়ম অনুসরণ করা হয়,BODMAS,প্রথমে বন্ধনী তারপর 'এর' তারপর ভাগ গুণ যোগ ও বিয়োগের কাজ করা হয়।,2,3,six
৮/৯ ÷ ৪/৩ এর মান কত,২/৩,৮/৯ কে ৩/৪ দিয়ে গুণ করলে ২৪/৩৬ বা ২/৩ হয়।,2,2,six
০.১ ০.০১ ও ০.০০১ এর ল.সা.গু. কত,0.1,দশমিক ভগ্নাংশগুলোর মধ্যে ০.১ সবচেয়ে বড় এবং অন্যগুলো দ্বারা বিভাজ্য।,3,3,six
২ ১.২ ও ০.০৮ এর গ.সা.গু. কত,0.04,সংখ্যাগুলোকে সম ডেসিম্যাল করে পূর্ণসংখ্যা ধরে গ.সা.গু. করে দশমিক বসিয়ে এটি নির্ণয় করা হয়।,3,3,six
০.৩৮৫ কে ০.০০১ দ্বারা ভাগ করলে ভাগফল কত,385,০.৩৮৫ কে ১/১০০০ দিয়ে ভাগ অর্থাৎ ১০০০ দিয়ে গুণ করলে ৩৮৫ হয়।,2,3,six
একটি বইয়ের দাম ৫০.২৫ টাকা হলে ৪টি বইয়ের দাম কত,২০১ টাকা,৫০.২৫ কে ৪ দিয়ে গুণ করলে ২০১.০০ বা ২০১ টাকা হয়।,2,2,six
০.০৯ + ৯.০০৯ + ৯৯.০০০৯ এর যোগফল কত,108.0999,দশমিক বিন্দু নিচে নিচে সাজিয়ে যোগ করলে এই ফল পাওয়া যায়।,৩,৬,six
১০১.০১ থেকে ১.০১ বিয়োগ করলে কত হয়,100,সাধারণ বিয়োগের নিয়ম অনুযায়ী ১০০.০০ বা ১০০ হয়।,১,৫,six
০.২৫ কে ০.০৫ দ্বারা ভাগ করলে কত হয়,5,০.২৫ কে ০.০৫ দিয়ে ভাগ করলে ৫ পাওয়া যায়।,১,৩,six
ভাজক ৯০৯.৯ এবং ভাগফল ৩০ হলে ভাজক কত,30.33,ভাজককে ভাগফল দিয়ে ভাগ করলে ভাজক ৯০৯.৯/৩০ = ৩০.৩৩ পাওয়া যায়।,১,৪,six
০.০২৪৫ কে ০.৮৫ দিয়ে গুণ করলে কত হয়,0.020825,সাধারণ গুণের নিয়ম অনুসরণ করে দশমিক বসিয়ে এই ফল পাওয়া যায়।,১,৪,six
১০০ থেকে ৯৯.৯ বিয়োগ করলে কত হয়,0.1,বিয়োগ করলে ০.১ অবশিষ্ট থাকে।,১,৩,six
১০০ কে ৫ দিয়ে ভাগ করলে ভাগফল কত,20,১০০ কে ৫ দিয়ে ভাগ করলে ২০ হয়।,১,৩,six
দুইটি ভগ্নাংশের গুণফল ৪৮ ১/৮ এবং একটি ভগ্নাংশ ৬ ১/১২ হলে অপরটি কত,৭ ১/২,৪৮ ১/৮ কে ৬ ১/১২ দিয়ে ভাগ করলে এই ফল পাওয়া যায়।,৩,৩,six
