Questions,Answer,Math Problem (Bengali),Math Problem (English)
২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি শেষ করবে,১৫ ঘণ্টা,২৫ জন লোক দৈনিক ৬ ঘণ্টা পরিশ্রম করে একটি কাজ ৮ দিনে শেষ করে। ১০ জন লোক দৈনিক কত ঘণ্টা পরিশ্রম করে ঐ কাজটি শেষ করবে,25 people working 6 hours a day complete a job in 8 days. How many hours per day must 10 people work to complete the same job?
একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে,৬ জন পুরুষ,একটি কাজ ২ জন পুরুষ অথবা ৩ জন বালক সম্পন্ন করতে পারে। ৯ জন বালক কতজন পুরুষের সমান কাজ করতে পারবে,A task can be completed by 2 men or 3 boys. How many men are equivalent to 9 boys?
একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত,১৫০ মিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত,"In a rectangular garden, the length is three times the width and the perimeter is 400 meters. What is the length?"
একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত,৭৫০০ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত,"If the length of a rectangular garden is 150 meters and width is 50 meters, what is the area?"
একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত,৭০ মিটার,একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত,"If a plot is 20 meters long and 15 meters wide, what is its perimeter?"
জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত,১৭৬ বর্গমিটার,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত,"If there is a 2-meter-wide path inside the land, what is the area of the land including the path?"
একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত,৩০ বর্গ মিটার,একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত,"If a triangle has a base of 10 meters and height of 6 meters, what is its area?"
এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে,"If one plot yields 500 kg 700 g of potatoes, how much will 11 plots yield?"
১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে,১ মেট্রিক টন ৭৫০ কেজি,১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে,"If 16 acres of land yield 28 metric tons of paddy, how much paddy per acre?"
এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়,"If 20,000 metric tons of rods are produced in a month, how much is produced daily?"
একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৩৮৪ বর্গ মিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,"A rectangular garden is 60m by 40m. If there’s a 2m wide path inside, what is the area of the path?"
একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত,১৪৭ বর্গমিটার,একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত,"If carpeting a floor costs 7.50 Taka per sq. meter and the total cost is 1102.50 Taka, what is the area of the floor?"
একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত,২১ মিটার,একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত,"If a room's length is three times its width and the area is 147 sq. meters, what is the length?"
একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৪৪৪ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,"A rectangular garden is 50m by 30m. If there’s a 3m wide path inside, what is the area of the path?"
রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়,৩৪০০ টাকা,রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়,"If the garden including the path is 44m by 24m, and fencing costs 25 Taka per meter, what is the total cost?"
একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়,৪৫০ বর্গমিটার,একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়,"If a 2.5m wide path surrounds a garden of 50m by 35m, what is the area of the path?"
রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত,২২৫৬.২৫ বর্গমিটার,রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত,"If the total perimeter (including path) of a garden is 190m, what is the area of a square field with the same perimeter?"
একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত,৪৫০০ বর্গগজ,একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত,"If a parallelogram has a base of 90 yards and height of 50 yards, what is its area?"
সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়,১১২৫টি,সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়,"To cover a parallelogram floor of 4500 sq. yards with stones each covering 4 sq. yards, how many stones are needed?"
একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়,৯৩০ টাকা,একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়,"If the perimeter of a garden is 120 meters and fencing costs 3¼ Taka per meter, what is the total fencing cost?"
৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত,২০ মিটার,৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত,A rectangular garden is 60 meters long and the length is 3 times the width. What is the width?
একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত,১৬০০ বর্গমিটার,একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত,"If a square has a perimeter of 160 meters, what is its area?"
"২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির?",দুইজনের বয়স সমান,"২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির?","In 2 years, Jibon’s age will be twice what it was 2 years ago. In 3 years, Jibon’s age will equal what it was 3 years ago. Who is older—Jibon or Julie?"
৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।),প্রতেকে পাবে ৫/৬ আপেল।অর্থাৎ ১টি আপেলের অর্ধেক +১টি আপেলের ১/৩ ভাগ।,৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।),How can 5 apples be divided equally among 6 boys? (Note: Each apple can be cut into up to 3 equal pieces.)
৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত?,"কাঠালের ওজন ৩ কিলোগ্রাম , তরমুজের ওজন ৪ কিলোগ্রাম",৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত?,"The total weight of 4 jackfruits and 5 watermelons is 32 kg. The total weight of 5 jackfruits and 4 watermelons is 31 kg. If all jackfruits and all watermelons weigh the same, what is the weight of one jackfruit and one watermelon?"
"কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল?","বাবুর্চী কাটে ৭০ মিনিটে ২১০টি পেঁয়াজ, সহকারী কাটে ১৯০টি পেঁয়াজ ৯৫ মিনিটে","কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল?","At a wedding, a chef and assistant cut 400 onions together. The chef cuts at least 3 onions per minute and the assistant cuts at least 2 per minute. If the chef stops 25 minutes before the assistant, how many onions did each cut and how long did they work?"
১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত?,১৬ বছর পূর্বে পুষ্পার জন্ম হয়নি,১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭:১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত?,"Ten years ago, the age ratio of Mili to Pushpa was 7:1. Currently, their age ratio is 3:1. What was the ratio of their ages 16 years ago?"
"খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ?","সেন্টুর ছিল ১০টি, মিন্টুর ছিল ১৪টি খেলনা গাড়ি","খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ?","While playing, Mintu noticed Sentu had more toy cars. Mintu said, “Give me two cars, and we’ll have the same.” Sentu instead took two cars from Mintu and claimed he now has double. How many cars did each have initially?"
"বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব?",প্রথমে ৩ লিটারের পাত্রে ৩ লিটার দুধ নিয়ে তা ৫ লিটারের পাত্রে ঢালতে হবে। এবারও একইভাবে আবারও ৩ লিটার দুধ নিয়ে ৫ লিটারের পাত্রে আছে আরো ঢালতে হবে যতক্ষণ না ৫ লিটারের পাত্রটি পূর্ণ হয়। পাত্রটি পূর্ণ হওয়ার পর যে অবশিষ্ট দুধ ৩ লিটারের পাত্রে থেকে যাবে তার পরিমাণ ১ লিটার।,"বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব?","Beru the milkman has 10 liters of milk in a jar, and two empty containers: one of 5 liters and one of 3 liters. How can he measure exactly 1 liter using only these two containers?"
"একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত?","১জন পুরুষ, ৫ জন মহিলা এবং ১৪ জন শিশু","একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত?","A joint family has 20 members (men, women, and children). 20 mon of rice is to be divided where each man gets 3 mon, each woman 2 mon, and each child 1 mon. How many men, women, and children are there?"
দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো।,24,দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো।,The sum of one-third and one-fourth of a two-digit number is 14. What is the number?
"একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে?",১ মিনিট,"একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে?",A train 500 meters long moves at 60 km/h. How long will it take to cross a bridge 500 meters long?
"১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ?","নারিকেল গাছ 60টি, আম গাছ ৪৫টি, বট গাছ ৩৬টি, ফুলের গাছ ৩৯টি","১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ?","In a park, 1/3 are coconut trees, 1/4 are mango trees, 1/5 are banyan trees, and there are 39 flower trees. How many trees of each type and total trees are there?"
২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার?,১.৮ লিটার,২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার?,How many liters of water are needed to make 10% salt solution with 20 grams of salt?
৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়?,70,৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়?,Divide 30 by ½ and add 10. What is the result?
ডাক্তার এক রোগিকে সকাল ৬টা থেকে দুপুর ১২টা পর্যন্ত আধ ঘন্টা পরপর ১টি টেবলেট খেতে বললেন। রোগীর মোট কতটি টেবলেট প্রয়োজন?,১৩ টা,ডাক্তার এক রোগিকে সকাল ৬টা থেকে দুপুর ১২টা পর্যন্ত আধ ঘন্টা পরপর ১টি টেবলেট খেতে বললেন। রোগীর মোট কতটি টেবলেট প্রয়োজন?,A doctor advises a patient to take one tablet every 30 minutes from 6 AM to 12 PM. How many tablets are needed?
"A - B = 10, AB = 16 হলে A² + B² = কত?",132,"A - B = 10, AB = 16 হলে A² + B² = কত?","If A - B = 10 and AB = 16, what is A² + B²?"
"জমির ১৯৮৪ সালের ফেব্রুয়ারির ১০০ মাস পরে জন্মগ্রহণ করেছিল।
 জমিরের জন্মদিন কোন মাসে?",জুন মাসে,"""জমির ১৯৮৪ সালের ফেব্রুয়ারির ১০০ মাস পরে জন্মগ্রহণ করেছিল। জমিরের জন্মদিন কোন মাসে?""",Zamir was born 100 months after February 1984. In which month was he born?
"১ থেকে ১০০০ পর্যন্ত সংখ্যাগুলোর যোগফল কত?
 (১+২+৩+...+৯৯৮+৯৯৯+১০০০ = ?)",500500,"""১ থেকে ১০০০ পর্যন্ত সংখ্যাগুলোর যোগফল কত? (১+২+৩+...+৯৯৮+৯৯৯+১০০০ = ?)""",What is the sum of numbers from 1 to 1000?
"নিচের সিরিজের শেষ সংখ্যাটি কত?
 ২, ৫, ১১, ২৩, ৫৭, ?",125,"""নিচের সিরিজের শেষ সংখ্যাটি কত? ২, ৫, ১১, ২৩, ৫৭, ?""","What is the next number in the series: 2, 5, 11, 23, 57, ?"
একটি ঝুরিতে ধারণক্ষমতা ১২০টি আনারস অথবা ১৪৪টি আমের । ঝুড়িতে ৯০টি আনারস রাখার পর আর কতটি আম রাখা যাবে?,৩৬টি,একটি ঝুরিতে ধারণক্ষমতা ১২০টি আনারস অথবা ১৪৪টি আমের । ঝুড়িতে ৯০টি আনারস রাখার পর আর কতটি আম রাখা যাবে?,"A basket can hold 120 pineapples or 144 mangoes. If 90 pineapples are stored, how many mangoes can still be added?"
